track_id,feature_list
b'TRAADMH128F9343E59',"[277.78567000000004, -6.944, 89.984, 0.4666288889016846, 0.0, 0.0]"
b'TRAADNA128F9331246',"[248.78975, -7.805, 116.721, 0.544257505724526, 0.754, 0.597]"
b'TRAADOF12903CAA1C1',"[195.3171, -10.7, 123.14200000000001, 0.4528178376971138, 0.98, 0.753]"
b'TRAADQX128F422B4CF',"[175.72526000000002, -10.93, 141.91899999999998, 0.3942171989010042, 0.522, 0.474]"
b'TRAADRN128F932D607',"[217.23382999999998, -9.493, 95.596, 0.3345773601190987, 0.005, 0.305]"
b'TRAADVH128EF34DE7A',"[344.05832000000004, -9.253, 154.953, 0.4793084593382274, 0.425, 0.486]"
b'TRAADYB128F92D7E73',"[251.42812, -12.009, 86.09100000000001, 0.4279142469829548, 0.391, 0.319]"
b'TRAADYI128E078FB38',"[269.7922, -11.043, 90.21799999999999, 0.41224060053560735, 0.715, 0.614]"
b'TRAAEAM128F934B199',"[206.05342, -11.505999999999998, 133.144, 0.4043926401547713, 0.6409999999999999, 0.597]"
b'TRAAEDJ12903CCE390',"[190.04036000000002, -14.179, 205.317, 0.3834757449066917, 0.105, 0.433]"
b'TRAAEEH128E0795DFE',"[241.162, -8.531, 180.149, 0.5006913409134529, 0.222, 0.40299999999999997]"
b'TRAAELO128F9302DD1',"[122.64443999999999, -8.541, 102.538, 0.3384148184832545, 0.61, 0.489]"
b'TRAAEMJ128F425A917',"[207.0722, -6.629, 84.164, 0.5236990777653908, 0.442, 0.371]"
b'TRAAENC128F1451DE9',"[300.79955, -13.33, 124.175, 0.3835242473277272, 0.6659999999999999, 0.6579999999999999]"
b'TRAAENP128F147BF32',"[228.46649, -12.412, 137.004, 0.4816558624124557, 0.45799999999999996, 0.602]"
b'TRAAEOU128F9309DE0',"[239.59465, -21.552, 106.33, 0.3807045358244573, 0.527, 0.613]"
b'TRAAERU128F930674F',"[228.93669, -8.686, 107.961, 0.3968558693253486, 0.172, 0.369]"
b'TRAAEUB12903CDD3EA',"[165.61587, -6.222, 174.287, 0.4575539098364934, 0.10800000000000001, 0.256]"
b'TRAAEWG128F930B3A4',"[187.92444, -5.907, 116.823, 0.7888059351620142, 0.612, 0.735]"
b'TRAAEXM128F92D47C8',"[276.50567, -4.638, 101.97200000000001, 0.30004649036641506, 0.29, 0.389]"
b'TRAAFEB128F92F8694',"[200.25423999999998, -5.8839999999999995, 127.97, 0.18931487775261455, 0.055999999999999994, 0.28300000000000003]"
b'TRAAFJW128F428A424',"[144.50893, -7.787000000000001, 152.622, 0.5542914890128156, 0.09300000000000001, 0.423]"
b'TRAAFKJ12903D02552',"[285.17832000000004, -8.488, 110.787, 0.26803783963074496, 0.379, 0.401]"
b'TRAAFMS128F933AB23',"[246.69995, -9.603, 112.90299999999999, 0.4668269925271874, 0.161, 0.205]"
b'TRAAFON128F42926FB',"[84.03546, -26.266, 115.64200000000001, 0.3004544598123077, 0.469, 0.591]"
b'TRAAFRU128F9339158',"[273.52771, -6.305, 125.01299999999999, 0.26627528554651025, 0.652, 0.6940000000000001]"
b'TRAAFSM128F425A2C5',"[298.84036000000003, -9.998, 113.277, 0.33750728916593725, 0.596, 0.5670000000000001]"
b'TRAAFUJ128F933F42B',"[161.38404, -9.161, 96.979, 0.3636681102446239, 0.665, 0.606]"
b'TRAAFYL128E07856A7',"[209.29261, -4.865, 140.995, 0.5799889824287546, 0.455, 0.48]"
b'TRAAGCZ128F93210FD',"[229.61587000000003, -4.882, 105.206, 1.0059419659547393, 0.205, 0.332]"
b'TRAAGEC128E079252C',"[426.89261, -12.950999999999999, 63.016999999999996, 0.5984585009824434, 0.05, 0.395]"
b'TRAAGGE128F9325E2C',"[269.26975, -11.751, 144.60299999999998, 0.4794076755751476, 0.052000000000000005, 0.142]"
b'TRAAGHM128EF35CF8E',"[249.41669, -6.693, 167.92, 0.13924739387110993, 0.883, 0.728]"
b'TRAAGJV128F1464090',"[136.48934, -9.091000000000001, 129.122, 0.3891007762801808, 0.386, 0.632]"
b'TRAAGKF128F932D5A2',"[233.27302000000003, -2.658, 132.02200000000002, 0.3224851056611973, 0.53, 0.501]"
b'TRAAGKQ128F92EAF39',"[187.24526, -4.42, 183.92, 0.3356518391847009, 0.8420000000000001, 0.721]"
b'TRAAGKS128F9314884',"[72.61995, -11.050999999999998, 89.867, 0.4533911860753301, 0.0, 0.0]"
b'TRAAGMJ12903CAD7D4',"[272.63955, -9.97, 119.896, 0.36438492446826576, 0.633, 0.605]"
b'TRAAGNL128F4299BF1',"[142.75873, -11.335, 137.29, 0.4810242392118726, 0.62, 0.8140000000000001]"
b'TRAAGOH128F42593CE',"[194.11546, -15.581, 82.34299999999999, 0.3432818817870833, 1.0, 0.8859999999999999]"
b'TRAAGPF12903CE027E',"[195.91791, -11.98, 91.48700000000001, 0.3866690917060239, 0.883, 0.735]"
b'TRAAGPH128F4273C8D',"[118.33424, -11.215, 84.69, 0.5380702951237828, 0.0, 0.0]"
b'TRAAGPJ128F428CD1B',"[288.41751, -8.165, 115.60600000000001, 0.5524133455169445, 0.08, 0.665]"
b'TRAAGUA128F93236E8',"[123.21914, -12.69, 126.523, 0.3475988886835368, 0.278, 0.48200000000000004]"
b'TRAAGVF128E0789785',"[283.76771, -8.7, 113.677, 0.3985475353805805, 0.823, 0.69]"
b'TRAAGVM128E0784D95',"[239.3073, -5.757999999999999, 86.93799999999999, 0.4214151025424071, 0.569, 0.601]"
b'TRAAGXN128F92DE52C',"[206.75873, -4.907, 141.936, 0.4041822066537044, 0.613, 0.6559999999999999]"
b'TRAAGZU128EF360F47',"[134.81751, -8.133, 106.04899999999999, 0.3135693426838017, 0.847, 0.6459999999999999]"
b'TRAAHDH128F93094B6',"[285.64853, -9.093, 126.88, 0.1489854809922737, 0.508, 0.34299999999999997]"
b'TRAAHEG128E07861C3',"[124.18567, -10.296, 85.008, 0.4935668426965597, 0.07400000000000001, 0.49200000000000005]"
b'TRAAHEH128F427FCEF',"[134.08608, -12.839, 133.69899999999998, 0.3178109598122704, 0.718, 0.674]"
b'TRAAHEQ128F93057B4',"[155.61098, -13.71, 118.975, 0.33109012633891616, 0.599, 0.517]"
b'TRAAHER128F92E3FE9',"[275.40853, -2.119, 102.40799999999999, 0.34919221761645924, 0.376, 0.33399999999999996]"
b'TRAAHJX128F9312B83',"[223.4771, -14.437999999999999, 112.006, 0.3163540008222974, 0.0, 0.138]"
b'TRAAHKE128F421389B',"[443.24526, -13.002, 45.527, 0.31783387920026196, 0.0, 0.051]"
b'TRAAHMO128F92DE7C9',"[177.81506000000002, -12.004000000000001, 85.62100000000001, 0.3457512470197027, 0.695, 0.6729999999999999]"
b'TRAAHPZ12903CB4643',"[385.33179, -8.37, 108.061, 0.2775617377534305, 0.8220000000000001, 0.503]"
b'TRAAHRF128F92FE234',"[324.44036, -11.829, 216.195, 0.4320119468576032, 0.5579999999999999, 0.718]"
b'TRAAHTH12903CCFFE1',"[275.12118, -6.29, 132.428, 0.3251485709173023, 0.6990000000000001, 0.527]"
b'TRAAHVY128F92E25D6',"[294.66077, -15.761, 168.30700000000002, 0.4148926124367487, 0.23800000000000002, 0.07]"
b'TRAAHXN128F9326097',"[193.20118, -27.433000000000003, 140.95600000000002, 0.3915853290262099, 0.371, 0.484]"
b'TRAAHYV128F932A425',"[357.82485, -5.7010000000000005, 130.016, 0.3841842584967685, 0.485, 0.42700000000000005]"
b'TRAAHZP12903CA25F4',"[198.3473, -8.709, 175.769, 0.4126716309926985, 0.306, 0.22]"
b'TRAAIAE128F42AC53D',"[261.95546, -13.627, 100.194, 0.6282464191914875, 0.96, 0.634]"
b'TRAAIAN12903CFF16D',"[176.27383, -11.479000000000001, 151.911, 0.3742711738564048, 0.171, 0.239]"
b'TRAAIAX128F930531B',"[220.89097999999998, -6.3020000000000005, 119.691, 0.3841464443048954, 0.606, 0.475]"
b'TRAAIBB12903CECB35',"[235.91137999999998, -10.466, 161.976, 0.3932151037866921, 0.46, 0.379]"
b'TRAAIDY128F92CA454',"[239.59465, -9.275, 172.398, 0.405178358907612, 0.601, 0.563]"
b'TRAAIFG12903CB0BCB',"[171.49342, -37.398, 109.823, 0.28404740990087485, 0.45, 0.685]"
b'TRAAIGD12903CA2F3C',"[266.05669, -13.835999999999999, 90.101, 0.34318504527257115, 0.9359999999999999, 0.763]"
b'TRAAIHL128F92E6DDA',"[329.27302000000003, -7.103, 116.473, 0.6011849417940898, 0.49700000000000005, 0.491]"
b'TRAAIIE128F4288BB1',"[198.922, -13.495, 126.821, 0.0, 0.0, 0.094]"
b'TRAAIII128F427D5D8',"[283.21914, -15.144, 111.191, 0.4224724232432197, 0.499, 0.652]"
b'TRAAILM128F93480BB',"[238.68036, -12.991, 125.508, 0.33510142487208283, 0.45799999999999996, 0.542]"
b'TRAAINT128F933BBE0',"[254.06649, -6.01, 137.888, 0.4379647331417924, 0.446, 0.38299999999999995]"
b'TRAAIRG128F93265E8',"[184.31955, -5.58, 150.012, 0.28128421554929817, 0.0, 0.0]"
b'TRAAIXN128F428027A',"[311.40526, -4.313, 108.367, 0.3340657898380008, 0.685, 0.611]"
b'TRAAIXU128F4241E5C',"[162.53342, -17.285, 173.482, 0.4035096733630853, 0.243, 0.297]"
b'TRAAIYR12903CD290D',"[212.37506000000002, -5.931, 110.745, 0.5669715662185826, 0.37200000000000005, 0.207]"
b'TRAAJAC128F148B530',"[338.33751, -14.248, 130.02700000000002, 0.37225120793006455, 0.626, 0.575]"
b'TRAAJBU128F9326C02',"[126.51057, -12.651, 110.16799999999999, 0.3268488180257514, 0.228, 0.374]"
b'TRAAJBU12903CE2831',"[205.58321999999998, -16.055999999999997, 97.976, 0.0, 0.825, 0.836]"
b'TRAAJEK128F422F55A',"[193.4624, -5.912999999999999, 119.979, 0.3631778606591337, 0.373, 0.5479999999999999]"
b'TRAAJEK12903CE351A',"[127.4771, -5.541, 156.968, 0.3458094431841164, 0.81, 0.8640000000000001]"
b'TRAAJJA12903CC518A',"[234.762, -6.019, 188.886, 0.3189020778687955, 0.172, 0.026000000000000002]"
b'TRAAJJG128F4284B27',"[292.8322, -4.953, 133.306, 0.4983953383497739, 0.295, 0.196]"
b'TRAAJJV128F42A2F99',"[241.10975, -18.114, 152.267, 0.3015024618584285, 0.965, 0.7440000000000001]"
b'TRAAJMH128E0785407',"[270.68036, -11.061, 166.275, 0.4596654567282773, 0.33, 0.526]"
b'TRAAJNM12903CF4750',"[188.73424, -7.04, 114.971, 0.4315269192148132, 0.862, 1.0]"
b'TRAAJSX128F4275A1D',"[211.80036, -15.357999999999999, 144.651, 0.3218826899456761, 0.519, 0.525]"
b'TRAAJVJ128F42570AD',"[254.32771, -11.213, 152.005, 0.351210536532264, 0.64, 0.6920000000000001]"
b'TRAAJXQ128F92E65BF',"[210.36362999999997, -5.904, 155.07399999999998, 0.27345372725278577, 0.645, 0.6829999999999999]"
b'TRAAJYX128F4255568',"[301.81832, -8.095, 61.971000000000004, 0.4468907265493133, 0.6829999999999999, 0.5489999999999999]"
b'TRAAKAS128F4246013',"[416.80933999999996, -7.982, 124.04, 0.5079658021593736, 0.644, 0.607]"
b'TRAAKAV128F931BE25',"[413.36118, -8.804, 191.196, 0.4249318351787764, 0.055999999999999994, 0.306]"
b'TRAAKDF128F92FA302',"[117.00200000000001, -5.699, 152.127, 0.5507620846559074, 0.45799999999999996, 0.44]"
b'TRAAKDG128F42A0ECB',"[217.36444, -5.152, 100.023, 0.6822631767638205, 0.805, 0.688]"
b'TRAAKJJ128F4228346',"[122.72281000000001, -9.965, 192.688, 0.4225149401307247, 0.0, 0.149]"
b'TRAAKNS12903CC5198',"[203.98975, -11.975999999999999, 154.322, 0.3838774936335668, 0.23600000000000002, 0.384]"
b'TRAAKQS128F4224DE1',"[192.44363, -10.229, 236.00599999999997, 0.3394084863551408, 0.084, 0.405]"
b'TRAAKSB128F934D73A',"[285.36118, -6.284, 150.666, 0.3828699558929602, 0.321, 0.42100000000000004]"
b'TRAAKTK128F9343DCC',"[225.12281000000002, -3.818, 175.421, 0.4668269925271874, 0.0, 0.036000000000000004]"
b'TRAAKVA128F934E69E',"[123.66322, -4.633, 104.15299999999999, 0.32138373011129995, 0.138, 0.452]"
b'TRAAKVD12903CE8474',"[525.16526, -5.602, 127.27799999999999, 0.3370893003321005, 0.386, 0.41700000000000004]"
b'TRAAKVZ12903D074BB',"[204.06812, -5.157, 160.165, 0.5444462769036911, 0.606, 0.514]"
b'TRAAKXN128F92E71B1',"[166.00771, -1.925, 86.09100000000001, 0.34919221761645924, 0.441, 0.37200000000000005]"
b'TRAALCM128F4264370',"[219.01016, -5.21, 149.94, 0.5559688037518089, 0.782, 0.662]"
b'TRAALDU128F930D56B',"[127.9473, -12.717, 135.78, 0.35032760522744555, 0.655, 0.525]"
b'TRAALEO128F42A7AEA',"[570.90567, -12.28, 122.96700000000001, 0.30660364129709755, 0.792, 0.6459999999999999]"
b'TRAALHD12903D0BD6A',"[230.00771, -9.748, 142.024, 0.3622387467018491, 0.858, 0.606]"
b'TRAALNG12903D014E9',"[240.74403999999998, -4.878, 135.535, 0.395709547707622, 0.735, 0.838]"
b'TRAALRZ128F429024E',"[192.20853, -23.988000000000003, 139.189, 0.3807045358244573, 0.523, 0.537]"
b'TRAALSV128F4282B9B',"[152.0322, -9.414, 128.59799999999998, 0.0, 0.6559999999999999, 0.39299999999999996]"
b'TRAALUX12903CFD50B',"[215.30077000000003, -9.741, 163.445, 0.4091348687974841, 0.445, 0.496]"
b'TRAALZC128F92E11A6',"[155.21913999999998, -11.965, 114.027, 0.6038764869181625, 0.0, 0.18100000000000002]"
b'TRAALZN128F932D457',"[207.12444, -12.779000000000002, 111.316, 0.3140117898326241, 0.662, 0.7559999999999999]"
b'TRAAMES128F42AF068',"[428.56444000000005, -8.402999999999999, 105.994, 0.6079718095629023, 0.743, 0.727]"
b'TRAAMFG128F92FDEA2',"[185.7824, -13.251, 88.48899999999999, 0.5077816674051294, 0.015, 0.23600000000000002]"
b'TRAAMFT128F93128AD',"[654.28853, -5.8839999999999995, 118.43299999999999, 0.5742747305168561, 0.539, 0.617]"
b'TRAAMGJ12903CD315C',"[306.72934, -6.928999999999999, 96.007, 0.433945513830991, 0.0, 0.23199999999999998]"
b'TRAAMII128F933B583',"[229.51137999999997, -4.198, 187.80700000000002, 0.2463407135623725, 0.457, 0.39799999999999996]"
b'TRAAMJY128F92F5919',"[205.58321999999998, -6.997999999999999, 181.115, 0.4133939112875, 0.025, 0.312]"
b'TRAAMKI128F428537A',"[127.05913999999999, -12.772, 148.357, 0.3794369722404727, 0.826, 0.9359999999999999]"
b'TRAAMKL128F9347D8A',"[44.35546, -18.147000000000002, 136.164, 0.5122267383177268, 0.0, 0.0]"
b'TRAAMKP12903CC74F4',"[203.83302, -7.6610000000000005, 126.941, 0.4269442562357665, 0.648, 0.629]"
b'TRAAMKW128F4249CF0',"[176.50893, -17.308, 159.582, 0.2835625959808445, 0.526, 0.595]"
b'TRAAMPA128F92E7D0D',"[140.66893000000002, -28.346999999999998, 89.495, 0.4765593789777819, 0.006, 0.127]"
b'TRAAMSO128EF348DCC',"[201.09016, -2.8689999999999998, 102.259, 0.4569405584415782, 0.608, 0.505]"
b'TRAAMXP128F4264F6A',"[254.79791, -7.309, 107.529, 0.3605835821516753, 0.647, 0.54]"
b'TRAAMYQ128F148B753',"[143.0722, -15.350999999999999, 99.40799999999999, 0.3701947010583135, 0.675, 0.353]"
b'TRAAMZB12903CAB002',"[163.49995, -25.694000000000003, 79.73100000000001, 0.2506012864465103, 0.753, 0.629]"
b'TRAAMZR128F9315DCC',"[289.64526, -9.435, 188.502, 0.38976551809145177, 0.40299999999999997, 0.578]"
b'TRAANBH128F9345A6C',"[124.15955, -4.793, 133.72899999999998, 0.3766886310220993, 0.7240000000000001, 0.583]"
b'TRAANKK128F42531BC',"[167.3922, -17.623, 139.136, 0.3994517240050293, 0.6940000000000001, 0.591]"
b'TRAANLO128F422AE37',"[321.35791, -6.2, 193.69299999999998, 0.5725833363950456, 0.341, 0.369]"
b'TRAANLZ128F934EC42',"[263.94077000000004, -19.820999999999998, 76.693, 0.36150980217715184, 0.693, 0.528]"
b'TRAANMF12903CEAFEF',"[341.36771, -9.632, 126.95, 0.22005076466880735, 0.43200000000000005, 0.304]"
b'TRAANRI12903CD0A9C',"[333.13914, -5.671, 144.812, 0.3278589246534592, 0.598, 0.532]"
b'TRAANTD128F9323B23',"[349.12608, -11.708, 138.003, 0.0, 0.7, 0.319]"
b'TRAANTZ128E0792529',"[168.56771, -16.968, 130.284, 0.5984585009824434, 0.5760000000000001, 0.621]"
b'TRAAODT12903D0D16E',"[350.71955, -13.038, 152.013, 0.2979492662186256, 0.8809999999999999, 0.9009999999999999]"
b'TRAAOEH128F426A82F',"[175.62077, -10.647, 159.968, 0.2721901520589511, 0.852, 0.743]"
b'TRAAOIN128F9303790',"[190.24934, -4.172, 75.031, 0.3734642277637134, 0.441, 0.326]"
b'TRAAOJI128F1458DCD',"[255.16362999999998, -10.755999999999998, 150.83700000000002, 0.4615584519598182, 0.473, 0.505]"
b'TRAAOPW128F428AE31',"[120.2673, -3.4219999999999997, 143.231, 0.2473405842381235, 0.634, 0.52]"
b'TRAAORY128F934984F',"[557.26975, -12.26, 123.993, 0.30660364129709755, 0.259, 0.462]"
b'TRAAOTD128F42322FC',"[187.53261, -23.526999999999997, 97.98100000000001, 0.3323898702808034, 0.6809999999999999, 0.541]"
b'TRAAOTT128F14AE002',"[295.60118, -9.435, 137.28799999999998, 0.34240639110484233, 0.7829999999999999, 0.7040000000000001]"
b'TRAAOTT128F9342E04',"[252.02892999999997, -8.639, 168.32299999999998, 0.29547099049043, 0.37200000000000005, 0.467]"
b'TRAAOXM12903CFB3B0',"[329.35138, -7.672000000000001, 111.079, 0.3895355761888646, 0.14400000000000002, 0.287]"
b'TRAAOYG128F9314996',"[180.00933999999998, -13.668, 133.009, 0.31213122149558203, 0.09699999999999999, 0.325]"
b'TRAAPCC128F42519A7',"[244.45342000000002, -6.885, 146.577, 0.276702624728755, 0.516, 0.59]"
b'TRAAPFQ128F42684DB',"[282.53995, -4.2, 140.458, 0.5996026426495992, 0.34, 0.34]"
b'TRAAPGF128F1458F8B',"[388.28362999999996, -16.433, 132.506, 0.4155170828597263, 0.551, 0.583]"
b'TRAAPIV128F1493132',"[345.93914, -6.9510000000000005, 153.862, 0.4671106485845494, 0.04, 0.14800000000000002]"
b'TRAAPLS12903CB2D40',"[243.1473, -14.737, 93.238, 0.0, 0.847, 0.639]"
b'TRAAPPQ128F14961F5',"[261.74649, -9.628, 124.086, 0.5375372013052252, 0.42700000000000005, 0.39799999999999996]"
b'TRAAPQQ128F427C750',"[172.25098, -8.46, 66.765, 0.0, 0.5579999999999999, 0.54]"
b'TRAAPSQ12903CAE86A',"[216.60689, -3.736, 145.518, 0.5492043838770254, 0.5579999999999999, 0.5329999999999999]"
b'TRAAPVV128F425D64C',"[363.59791, -4.376, 139.998, 0.8521862384017338, 0.638, 0.371]"
b'TRAAPWD128F931ACD4',"[271.77751, -6.947, 90.648, 0.0, 0.674, 0.556]"
b'TRAAPXK128F934DF25',"[330.65751, -12.279000000000002, 140.334, 0.0, 0.706, 0.629]"
b'TRAAQBF12903CF796B',"[133.27628, -15.735999999999999, 89.86, 0.4534357911934751, 0.7829999999999999, 0.674]"
b'TRAAQCK128F92E8C33',"[264.69832, -5.871, 156.097, 0.5354083792298137, 0.594, 0.509]"
b'TRAAQDJ128F92F95E0',"[228.51872999999998, -12.052999999999999, 179.50099999999998, 0.3336491407920784, 0.579, 0.405]"
b'TRAAQDL12903CA8FB5',"[240.3522, -6.247999999999999, 86.689, 0.31398973328035057, 0.611, 0.544]"
b'TRAAQEV12903CB5459',"[145.57995, -13.703, 160.261, 0.3050742624735008, 0.757, 0.637]"
b'TRAAQFC128F425ED83',"[235.80688999999998, -9.716000000000001, 101.03, 0.3717608953947885, 0.391, 0.316]"
b'TRAAQIH128F428BDEA',"[192.1824, -6.257999999999999, 155.03799999999998, 0.3494763271978497, 0.21100000000000002, 0.363]"
b'TRAAQLE128F424AE71',"[418.87302, -11.702, 117.16799999999999, 0.3622840901263234, 0.826, 0.912]"
b'TRAAQLJ128F428E870',"[198.26893, -14.509, 132.967, 0.3516244688973981, 0.414, 0.485]"
b'TRAAQOH128F4265CE6',"[420.10077, -9.062000000000001, 139.91, 0.3547257553023712, 1.0, 0.726]"
b'TRAAQPS128F429161D',"[397.26975, -6.787999999999999, 95.882, 0.4460715844124553, 0.535, 0.33299999999999996]"
b'TRAAQUC128F9322A82',"[229.79872999999998, -12.772, 135.175, 0.35300068828370523, 0.685, 0.418]"
b'TRAAQUF12903CDF4A4',"[150.64771000000002, -9.258, 121.98299999999999, 0.17306799943289988, 0.804, 0.728]"
b'TRAAQWF128F92D1AAD',"[286.14485, -24.596999999999998, 169.775, 0.3419045735408989, 0.20600000000000002, 0.32299999999999995]"
b'TRAAQYN128F92ED77E',"[384.70485, -8.161, 137.862, 0.272385459553457, 0.5820000000000001, 0.606]"
b'TRAAQYU12903CE68CE',"[415.03302, -6.751, 83.32600000000001, 0.3653396527140089, 0.46, 0.716]"
b'TRAAQZF12903CEDCB8',"[133.53751, -29.295, 117.667, 0.3008559001020913, 0.0, 0.0]"
b'TRAAQZQ128EF35C51A',"[266.70975, -12.658, 90.90799999999999, 0.3432756605456756, 0.731, 0.5770000000000001]"
b'TRAARHS128F931689D',"[284.3424, -6.546, 151.953, 0.8195882822285578, 0.49, 0.469]"
b'TRAARRG12903CDB456',"[179.06893, -17.522000000000002, 161.054, 0.4772251904432169, 0.43700000000000006, 0.465]"
b'TRAARSF12903CD1B12',"[100.5971, -10.777000000000001, 159.895, 0.36674393175597547, 0.24600000000000002, 0.326]"
b'TRAARUN128F932B1A0',"[320.60036, -9.993, 128.219, 0.31724842518014, 0.802, 0.46299999999999997]"
b'TRAASDM12903CD474E',"[302.36689, -12.99, 101.229, 0.3148821836230177, 1.0, 0.9470000000000001]"
b'TRAASEO128F9337C48',"[284.70812, -8.339, 98.859, 0.3224681544635993, 0.106, 0.324]"
b'TRAASFP128F42980BD',"[327.8624, -6.531000000000001, 125.975, 0.4986688747960867, 0.509, 0.519]"
b'TRAASGM128EF34DBB0',"[286.30159, -6.933, 154.09, 0.5551383219226409, 0.529, 0.317]"
